No.,Component Type,Performance Group Quantity,Quantity Dispersion,Fragility Correlated,Population Model,Demand Parameters,Dir,Floor Num
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,8.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,8.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,7.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,7.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,7.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,6.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,6.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,6.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,5.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,5.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,5.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,4.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,4.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,4.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,3.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,3.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,3.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,2.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,2.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,2.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,1,1.0
C2011.001a,,1.4066279999999998,0.1,FALSE,,,2,1.0
D5012.021a,,0.04167786666666667,0.3,FALSE,,,3,1.0
D1014.011,,7.970892000000002,0.8,FALSE,,,3,ALL
